work_key,title,authors,first_publish_year,subjects,description,cover_url,source
/works/OL294670W,Poems,"Mirza Asadullah Khan Ghalib, Ghalib, Robert Bly, Sunil Dutta",1925,"Translations into English; Urdu Ghazals; Criticism and interpretation; Miniature books; Specimens; Translations into Tajik; Translations; Translations into Urdu; Literary studies: general; Literature: Texts; Indo-Iranian Literature; Literary Collections; Indic, East Indo-European & Dravidian Languages; Poetry; Asian; Poetry / General; Asian - Indic; Persian poetry, translations into english; Urdu literature; Languages; Indic literature; Translating and interpreting; History and criticism; Translating into English; Poetry (poetic works by one author); Aijaz Ahmad","Complete Urdu poems of the poet, based on the Nizami Press, Kanpur, edition of 1862.",https://covers.openlibrary.org/b/id/2267955-M.jpg,subject:indic_literature
/works/OL308958W,The King of the Dark Chamber,Rabindranath Tagore,1914,Drama; Bengali; Indic literature; Translations into English; English literature; Translations from Indic,"**Raja** (Bengali: রাজা), (also known as **The King of the Dark Chamber** in English translation), is a play by Rabindranath Tagore written in 1910. This play is marked as a symbolic play as well as a ‘mystic play’. The story is loosely borrowed from the Buddhist story of King Kush from Mahāvastu. A short stage version of Raja was published under the title of Arupratan in 1920.

(Source: Wikipedia)",https://covers.openlibrary.org/b/id/5830153-M.jpg,subject:indic_literature
/works/OL63384W,Geschichte der indischen litteratur,Moritz Winternitz,1908,Buddhist literature; History and criticism; Indic literature; Jaina literature; Pali literature; Sanskrit literature,,https://covers.openlibrary.org/b/id/4139853-M.jpg,subject:indic_literature
/works/OL11572W,India's past,Arthur Anthony Macdonell,1927,History and criticism; Sanskrit literature; Religion; Civilization; Numismatics; Indic literature; Inscriptions; Indic Inscriptions; Indic philology; Littérature de l'Inde; Histoire et critique; Littérature sanscrite; Numismatiques; History,,https://covers.openlibrary.org/b/id/10765847-M.jpg,subject:indic_literature
/works/OL20314761W,Dalit Literatures in India,Judith Misrahi-Barak,2015,"Indic literature, history and criticism; Dalits; Indic literature; Dalit authors; History and criticism; Social change in literature; Marginality, Social, in literature; Dalits in literature",,https://covers.openlibrary.org/b/id/8975809-M.jpg,subject:indic_literature
/works/OL1770552W,A literary history of India,Robert Watson Frazer,1898,History; History and criticism; Indic literature; Sanskrit literature; Sanskrit; Literature,,https://covers.openlibrary.org/b/id/5828136-M.jpg,subject:indic_literature
/works/OL8007140W,The Oppressive Present,Sudhir Chandra,1994,"Indic literature, history and criticism; Social problems in literature; Colonies in literature; Intellectual life; Indic literature; History and criticism; Social conditions; Littérature de l'Inde; Histoire et critique; Conditions sociales; Problèmes sociaux dans la littérature; LITERARY CRITICISM; General; India, social life and customs","Study of Hindi, Bengali, Gujarati, and Marathi literature.",https://covers.openlibrary.org/b/id/9033245-M.jpg,subject:indic_literature
/works/OL335542W,A backward place,Ruth Prawer Jhabvala,1965,"Indic literature; English fiction; Fiction; English; Social life and customs; Manners and customs; Fiction, general; India, fiction",,https://covers.openlibrary.org/b/id/457676-M.jpg,subject:indic_literature
/works/OL21651524W,Dalit Text,"Satyanarayana, K., Nicole Thiara, Judith Misrahi-Barak",2019,Indic literature; Dalit authors; History and criticism; Dalits in literature; LITERARY CRITICISM / Asian / General; LITERARY CRITICISM / Modern / 21st Century; LANGUAGE ARTS & DISCIPLINES / Translating & Interpreting,"""This book, companion to the much-acclaimed Dalit Literatures in India, examines questions of aesthetics and literary representation in a wide range of Dalit literary texts. It looks at how Dalit literature, born from the struggle against social and political injustice, invokes the rich and complex legacy of oral, folk and performative traditions of marginalised voices. The essays and interviews systematically explore a range of literary forms, from autobiographies, memoirs and other testimonial narratives to poems, novels or short stories to foreground the diversity of Dalit creation. Showcasing the interplay between the aesthetic and political for a genre of writing that has 'change' as its goal, the volume aims to make Dalit writing more accessible to a wider public, for the Dalit voices to be heard and understood. The volume also shows how the genre has revolutionised the concept of what literature is supposed to mean and define. Effervescent first-person accounts, socially militant activism and sharp critiques of a little explored literary terrain make this essential reading for scholars and researchers of social exclusion and discrimination studies, literature, especially comparative literature, translation studies, politics, human rights and culture studies""--",https://covers.openlibrary.org/b/id/12440026-M.jpg,subject:indic_literature
/works/OL7924292W,The Vintage Book of Indian Writing 1947-1997,"Salman Rushdie, Elizabeth West, Jawaharlal Nehru, Nayantara Sahgal, Saʻādat Ḥasan Manṭo, G. V. Desani, Nirad Chandra Chaudhuri, Kamala Markandaya, Mulk Raj Anand, Rasipuram Krishnaswamy Narayan, Ved Mehta, Anita Desai, Ruth Prawer Jhabvala, Satyajit Ray, Padma Perera, Upamanyu Chatterjee, Rohinton Mistry, Bapsi Sidhwa, I. Allan Sealey, Shashi Tharoor, Sara Suleri, Firdaus Kanga, Anjana Appachana, Amit Chaudhuri, Amitav Ghosh, Githa Hariharan, Gita Mehta, Vikram Seth, Vikram Chandra, Ardashir Vakil, Mukul Kesavan, Arundhati Roy, Kiran Desai",1997,"Indic literature (English); Literary collections; Indic literature; English literature, indic authors; Aufsatzsammlung; Literatur; Littérature indienne (de l'Inde) de langue anglaise; Anthologies","Stories and excerpts of novels from India since the country attained its independence in 1947. The subjects range from religious strife, to the assault on the senses of the many people one is surrounded by.",https://covers.openlibrary.org/b/id/10236506-M.jpg,subject:indic_literature
